 n     vDP  tDP      vGreedy tGreedy       %
--------------------------------------------
 1000  3240 0.048182    3230 0.000252  99.69
 2000  7142 0.205590    7140 0.010256  99.97
 3000  9560 0.492629    9545 0.000794  99.84
 4000 24000 0.895530   24000 0.001086 100.00
 5000 19541 1.442446   19538 0.001411  99.98
 6000 54000 2.089809   54000 0.001926 100.00
 7000 23410 2.887370   23409 0.001892 100.00
 8000 28138 3.795768   28109 0.002177  99.90
 9000 36000 4.921322   36000 0.002710 100.00
10000 50000 6.209742   50000 0.003302 100.00
11000 57750 7.816969   57750 0.003418 100.00
12000 60000 9.285099   60000 0.004870 100.00
13000 39309 10.947051   39304 0.003845  99.99
14000 49000 12.980689   49000 0.005101 100.00
15000 63000 14.850161   63000 0.004836 100.00
16000 54219 16.820365   54219 0.005304 100.00
17000 55620 18.949893   55620 0.005446 100.00
18000 78000 21.359494   78000 0.005682 100.00
19000 82330 23.948453   82324 0.006071  99.99
20000 92000 26.620578   92000 0.006152 100.00
